 EPOCH1D v4.9.2   v4.9.2-0-ged589c1e-clean 1522760112.66               

 Loaded 65536 particles of species "Electron"
 Loaded 65536 particles of species "Ion"
Wrote full    dump number  160 at time  0.160423482034E-13 and iteration    342
Wrote normal  dump number  161 at time  0.161361631052E-13 and iteration    344
Wrote normal  dump number  162 at time  0.162299780070E-13 and iteration    346
Wrote normal  dump number  163 at time  0.163237929088E-13 and iteration    348
Wrote normal  dump number  164 at time  0.164176078105E-13 and iteration    350
Wrote normal  dump number  165 at time  0.165114227123E-13 and iteration    352
Wrote normal  dump number  166 at time  0.166052376141E-13 and iteration    354
Wrote normal  dump number  167 at time  0.167459599667E-13 and iteration    357
Wrote normal  dump number  168 at time  0.168397748685E-13 and iteration    359
Wrote normal  dump number  169 at time  0.169335897703E-13 and iteration    361
Wrote full    dump number  170 at time  0.170274046721E-13 and iteration    363
Wrote normal  dump number  171 at time  0.171212195738E-13 and iteration    365
Wrote normal  dump number  172 at time  0.172150344756E-13 and iteration    367
Wrote normal  dump number  173 at time  0.173088493774E-13 and iteration    369
Wrote normal  dump number  174 at time  0.174026642792E-13 and iteration    371
Wrote normal  dump number  175 at time  0.175433866318E-13 and iteration    374
Wrote normal  dump number  176 at time  0.176372015336E-13 and iteration    376
Wrote normal  dump number  177 at time  0.177310164354E-13 and iteration    378
Wrote normal  dump number  178 at time  0.178248313372E-13 and iteration    380
Wrote normal  dump number  179 at time  0.179186462389E-13 and iteration    382
Wrote full    dump number  180 at time  0.180124611407E-13 and iteration    384
Wrote normal  dump number  181 at time  0.181062760425E-13 and iteration    386
Wrote normal  dump number  182 at time  0.182000909442E-13 and iteration    388
Wrote normal  dump number  183 at time  0.183408132969E-13 and iteration    391
Wrote normal  dump number  184 at time  0.184346281987E-13 and iteration    393
Wrote normal  dump number  185 at time  0.185284431005E-13 and iteration    395
Wrote normal  dump number  186 at time  0.186222580022E-13 and iteration    397
Wrote normal  dump number  187 at time  0.187160729040E-13 and iteration    399
Wrote normal  dump number  188 at time  0.188098878058E-13 and iteration    401
Wrote normal  dump number  189 at time  0.189037027076E-13 and iteration    403
Wrote full    dump number  190 at time  0.190444250602E-13 and iteration    406
Wrote normal  dump number  191 at time  0.191382399620E-13 and iteration    408
Wrote normal  dump number  192 at time  0.192320548638E-13 and iteration    410
Wrote normal  dump number  193 at time  0.193258697655E-13 and iteration    412
Wrote normal  dump number  194 at time  0.194196846673E-13 and iteration    414
Wrote normal  dump number  195 at time  0.195134995691E-13 and iteration    416
Wrote normal  dump number  196 at time  0.196073144709E-13 and iteration    418
Wrote normal  dump number  197 at time  0.197011293726E-13 and iteration    420
Wrote normal  dump number  198 at time  0.198418517253E-13 and iteration    423
Wrote normal  dump number  199 at time  0.199356666271E-13 and iteration    425
Wrote full    dump number  200 at time  0.200294815289E-13 and iteration    427
Wrote normal  dump number  201 at time  0.201232964306E-13 and iteration    429
Wrote normal  dump number  202 at time  0.202171113324E-13 and iteration    431
Wrote normal  dump number  203 at time  0.203109262342E-13 and iteration    433
Wrote normal  dump number  204 at time  0.204047411359E-13 and iteration    435
Wrote normal  dump number  205 at time  0.205454634886E-13 and iteration    438
Wrote normal  dump number  206 at time  0.206392783904E-13 and iteration    440
Wrote normal  dump number  207 at time  0.207330932922E-13 and iteration    442
Wrote normal  dump number  208 at time  0.208269081939E-13 and iteration    444
Wrote normal  dump number  209 at time  0.209207230957E-13 and iteration    446
Wrote full    dump number  210 at time  0.210145379975E-13 and iteration    448
Wrote normal  dump number  211 at time  0.211083528993E-13 and iteration    450
Wrote normal  dump number  212 at time  0.212021678010E-13 and iteration    452
Wrote normal  dump number  213 at time  0.213428901537E-13 and iteration    455
Wrote normal  dump number  214 at time  0.214367050555E-13 and iteration    457
Wrote normal  dump number  215 at time  0.215305199572E-13 and iteration    459
Wrote normal  dump number  216 at time  0.216243348590E-13 and iteration    461
Wrote normal  dump number  217 at time  0.217181497608E-13 and iteration    463
Wrote normal  dump number  218 at time  0.218119646626E-13 and iteration    465
Wrote normal  dump number  219 at time  0.219057795643E-13 and iteration    467
Wrote full    dump number  220 at time  0.220465019170E-13 and iteration    470
Wrote normal  dump number  221 at time  0.221403168188E-13 and iteration    472
Wrote normal  dump number  222 at time  0.222341317206E-13 and iteration    474
Wrote normal  dump number  223 at time  0.223279466223E-13 and iteration    476
Wrote normal  dump number  224 at time  0.224217615241E-13 and iteration    478
Wrote normal  dump number  225 at time  0.225155764259E-13 and iteration    480
Wrote normal  dump number  226 at time  0.226093913276E-13 and iteration    482
Wrote normal  dump number  227 at time  0.227032062294E-13 and iteration    484
Wrote normal  dump number  228 at time  0.228439285821E-13 and iteration    487
Wrote normal  dump number  229 at time  0.229377434839E-13 and iteration    489
Wrote full    dump number  230 at time  0.230315583856E-13 and iteration    491
Wrote normal  dump number  231 at time  0.231253732874E-13 and iteration    493
